,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,hourly,hourly_lower,hourly_upper,rolling_avg_w1-w4_lags,rolling_avg_w1-w4_lags_lower,rolling_avg_w1-w4_lags_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2024-08-01 00:00:00,29149.492592857714,18277.80202976189,28570.701394070806,29149.492592857714,29149.492592857714,-6012.24336624442,-6012.24336624442,-6012.24336624442,-431.63150348123605,-431.63150348123605,-431.63150348123605,-5920.36760169172,-5920.36760169172,-5920.36760169172,5.726625963217995,5.726625963217995,5.726625963217995,-5920.36760169172,-5920.36760169172,-5920.36760169172,-37.2821445841611,-37.2821445841611,-37.2821445841611,371.31125754947857,371.31125754947857,371.31125754947857,0.0,0.0,0.0,23137.249226613294
1,2024-08-01 01:00:00,29149.528733957577,9907.616401115842,20963.486124267452,29149.528733957577,29149.528733957577,-13602.81850255148,-13602.81850255148,-13602.81850255148,-1163.655437798006,-1163.655437798006,-1163.655437798006,-12777.384450350624,-12777.384450350624,-12777.384450350624,2.364932930672495,2.364932930672495,2.364932930672495,-12777.384450350624,-12777.384450350624,-12777.384450350624,-28.06166144228428,-28.06166144228428,-28.06166144228428,363.91811410876204,363.91811410876204,363.91811410876204,0.0,0.0,0.0,15546.710231406098
2,2024-08-01 02:00:00,29149.564875057436,5605.954668185924,16643.386702687083,29149.564875057436,29149.564875057436,-18360.08564984822,-18360.08564984822,-18360.08564984822,-1868.0877550993466,-1868.0877550993466,-1868.0877550993466,-16828.011071054498,-16828.011071054498,-16828.011071054498,-1.6310331216752834,-1.6310331216752834,-1.6310331216752834,-16828.011071054498,-16828.011071054498,-16828.011071054498,-18.847414988240885,-18.847414988240885,-18.847414988240885,356.49162441554023,356.49162441554023,356.49162441554023,0.0,0.0,0.0,10789.479225209216
3,2024-08-01 03:00:00,29149.6010161573,3403.2912079968564,13840.016654008496,29149.6010161573,29149.6010161573,-20529.879147920048,-20529.879147920048,-20529.879147920048,-2319.324683675798,-2319.324683675798,-2319.324683675798,-18543.703323146834,-18543.703323146834,-18543.703323146834,-6.20062848975305,-6.20062848975305,-6.20062848975305,-18543.703323146834,-18543.703323146834,-18543.703323146834,-9.682629072976587,-9.682629072976587,-9.682629072976587,349.03211646531264,349.03211646531264,349.03211646531264,0.0,0.0,0.0,8619.721868237251
4,2024-08-01 04:00:00,29149.637157257162,4863.655192586862,15419.34044763865,29149.637157257162,29149.637157257162,-19168.306548983863,-19168.306548983863,-19168.306548983863,-2321.942280808049,-2321.942280808049,-2321.942280808049,-17176.016733535642,-17176.016733535642,-17176.016733535642,-11.279678215311085,-11.279678215311085,-11.279678215311085,-17176.016733535642,-17176.016733535642,-17176.016733535642,-0.6077758441010359,-0.6077758441010359,-0.6077758441010359,341.53991941924204,341.53991941924204,341.53991941924204,0.0,0.0,0.0,9981.3306082733
5,2024-08-01 05:00:00,29149.673298357022,8013.521186243493,18943.898853400256,29149.673298357022,29149.673298357022,-15804.393883175977,-15804.393883175977,-15804.393883175977,-1845.7194590487682,-1845.7194590487682,-1845.7194590487682,-14284.229057571887,-14284.229057571887,-14284.229057571887,-16.8009571854893,-16.8009571854893,-16.8009571854893,-14284.229057571887,-14284.229057571887,-14284.229057571887,8.340227044725358,8.340227044725358,8.340227044725358,334.01536358544297,334.01536358544297,334.01536358544297,0.0,0.0,0.0,13345.279415181045
6,2024-08-01 06:00:00,29149.709439456885,15022.670219009347,25810.623403817164,29149.709439456885,29149.709439456885,-8747.426763320464,-8747.426763320464,-8747.426763320464,-1074.2984341238493,-1074.2984341238493,-1074.2984341238493,-7994.021177302482,-7994.021177302482,-7994.021177302482,-22.69469153216687,-22.69469153216687,-22.69469153216687,-7994.021177302482,-7994.021177302482,-7994.021177302482,17.12875923960124,17.12875923960124,17.12875923960124,326.4587803984334,326.4587803984334,326.4587803984334,0.0,0.0,0.0,20402.28267613642
7,2024-08-01 07:00:00,29149.745580556744,24810.974540818417,35337.767341169485,29149.745580556744,29149.745580556744,989.6622439782182,989.6622439782182,989.6622439782182,-314.468034757957,-314.468034757957,-314.468034757957,988.4186843610746,988.4186843610746,988.4186843610746,-28.88907664179876,-28.88907664179876,-28.88907664179876,988.4186843610746,988.4186843610746,988.4186843610746,25.73016860272699,25.73016860272699,25.73016860272699,318.8705024141723,318.8705024141723,318.8705024141723,0.0,0.0,0.0,30139.407824534963
8,2024-08-01 08:00:00,29149.781721656607,32691.14263364938,43649.18110320231,29149.781721656607,29149.781721656607,8835.32083087548,8835.32083087548,8835.32083087548,178.9425145128502,178.9425145128502,178.9425145128502,8346.315901651451,8346.315901651451,8346.315901651451,-35.31080795170454,-35.31080795170454,-35.31080795170454,8346.315901651451,8346.315901651451,8346.315901651451,34.122359374190665,34.122359374190665,34.122359374190665,311.25086328869367,311.25086328869367,311.25086328869367,0.0,0.0,0.0,37985.10255253209
9,2024-08-01 09:00:00,29149.817862756467,29218.721159355606,40171.82002482066,29149.817862756467,29149.817862756467,5700.335932046104,5700.335932046104,5700.335932046104,338.48162448948744,338.48162448948744,338.48162448948744,5057.850442579824,5057.850442579824,5057.850442579824,-41.88562063012218,-41.88562063012218,-41.88562063012218,5057.850442579824,5057.850442579824,5057.850442579824,42.28928784557513,42.28928784557513,42.28928784557513,303.6001977613395,303.6001977613395,303.6001977613395,0.0,0.0,0.0,34850.15379480257
