,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,hourly,hourly_lower,hourly_upper,rolling_avg_w1-w4_lags,rolling_avg_w1-w4_lags_lower,rolling_avg_w1-w4_lags_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2024-08-01 00:00:00,9703.620882073134,5766.236726272932,9424.771997159654,9703.620882073134,9703.620882073134,-2148.792155200359,-2148.792155200359,-2148.792155200359,-113.27415776283348,-113.27415776283348,-113.27415776283348,-2122.962663890656,-2122.962663890656,-2122.962663890656,60.575367584301496,60.575367584301496,60.575367584301496,-2122.962663890656,-2122.962663890656,-2122.962663890656,-56.1151769641538,-56.1151769641538,-56.1151769641538,82.98447583298315,82.98447583298315,82.98447583298315,0.0,0.0,0.0,7554.8287268727745
1,2024-08-01 01:00:00,9703.632743888955,3175.813175808255,6799.240025689259,9703.632743888955,9703.632743888955,-4640.353156806579,-4640.353156806579,-4640.353156806579,-359.57374106729765,-359.57374106729765,-359.57374106729765,-4368.789516848195,-4368.789516848195,-4368.789516848195,59.17772800489452,59.17772800489452,59.17772800489452,-4368.789516848195,-4368.789516848195,-4368.789516848195,-53.36947598247792,-53.36947598247792,-53.36947598247792,82.20184908649618,82.20184908649618,82.20184908649618,0.0,0.0,0.0,5063.279587082376
2,2024-08-01 02:00:00,9703.644605704774,1835.2856509039286,5470.108440392867,9703.644605704774,9703.644605704774,-6075.100789435702,-6075.100789435702,-6075.100789435702,-610.2583469520654,-610.2583469520654,-610.2583469520654,-5553.125193994614,-5553.125193994614,-5553.125193994614,57.4211450554017,57.4211450554017,57.4211450554017,-5553.125193994614,-5553.125193994614,-5553.125193994614,-50.547137767064,-50.547137767064,-50.547137767064,81.40874422264062,81.40874422264062,81.40874422264062,0.0,0.0,0.0,3628.5438162690725
3,2024-08-01 03:00:00,9703.656467520594,1318.9954286337918,4924.76647293996,9703.656467520594,9703.656467520594,-6646.343527463836,-6646.343527463836,-6646.343527463836,-770.8424698877213,-770.8424698877213,-770.8424698877213,-5963.783114077786,-5963.783114077786,-5963.783114077786,55.32860153213616,55.32860153213616,55.32860153213616,-5963.783114077786,-5963.783114077786,-5963.783114077786,-47.65175196508266,-47.65175196508266,-47.65175196508266,80.60520693461804,80.60520693461804,80.60520693461804,0.0,0.0,0.0,3057.3129400567577
4,2024-08-01 04:00:00,9703.668329336415,1981.8982256891745,5544.721009286647,9703.668329336415,9703.668329336415,-5974.342502712531,-5974.342502712531,-5974.342502712531,-758.9058412921265,-758.9058412921265,-758.9058412921265,-5303.4663510654245,-5303.4663510654245,-5303.4663510654245,52.925101121366794,52.925101121366794,52.925101121366794,-5303.4663510654245,-5303.4663510654245,-5303.4663510654245,-44.68669482078007,-44.68669482078007,-44.68669482078007,79.79128334443253,79.79128334443253,79.79128334443253,0.0,0.0,0.0,3729.3258266238836
5,2024-08-01 05:00:00,9703.680191152234,3351.1388577188286,6996.783854973713,9703.680191152234,9703.680191152234,-4501.134505199444,-4501.134505199444,-4501.134505199444,-562.8445933301059,-562.8445933301059,-562.8445933301059,-4025.8394278421083,-4025.8394278421083,-4025.8394278421083,50.237473064338616,50.237473064338616,50.237473064338616,-4025.8394278421083,-4025.8394278421083,-4025.8394278421083,-41.6549770918864,-41.6549770918864,-41.6549770918864,78.9670200003182,78.9670200003182,78.9670200003182,0.0,0.0,0.0,5202.54568595279
6,2024-08-01 06:00:00,9703.692052968056,6195.969765090068,9650.34725497678,9703.692052968056,9703.692052968056,-1810.923720765321,-1810.923720765321,-1810.923720765321,-261.7956561296588,-261.7956561296588,-261.7956561296588,-1635.995592170117,-1635.995592170117,-1635.995592170117,47.294164761007124,47.294164761007124,47.294164761007124,-1635.995592170117,-1635.995592170117,-1635.995592170117,-38.559101099754635,-38.559101099754635,-38.559101099754635,78.13246387320265,78.13246387320265,78.13246387320265,0.0,0.0,0.0,7892.768332202735
7,2024-08-01 07:00:00,9703.703914783875,9662.627569801827,13218.170670540716,9703.703914783875,9703.703914783875,1790.375781375397,1790.375781375397,1790.375781375397,15.177307087046806,15.177307087046806,15.177307087046806,1689.1867177622028,1689.1867177622028,1689.1867177622028,44.12502388769354,44.12502388769354,44.12502388769354,1689.1867177622028,1689.1867177622028,1689.1867177622028,-35.4009297176911,-35.4009297176911,-35.4009297176911,77.28766235614512,77.28766235614512,77.28766235614512,0.0,0.0,0.0,11494.079696159271
8,2024-08-01 08:00:00,9703.715776599694,12207.57837208014,15732.431200435252,9703.715776599694,9703.715776599694,4241.790945163166,4241.790945163166,4241.790945163166,165.52580575052434,165.52580575052434,165.52580575052434,3991.2529743831196,3991.2529743831196,3991.2529743831196,40.76107168199602,40.76107168199602,40.76107168199602,3991.2529743831196,3991.2529743831196,3991.2529743831196,-32.18156991331703,-32.18156991331703,-32.18156991331703,76.43266326084292,76.43266326084292,76.43266326084292,0.0,0.0,0.0,13945.50672176286
9,2024-08-01 09:00:00,9703.727638415516,10249.50484289896,13953.208075044255,9703.727638415516,9703.727638415516,2463.256008832204,2463.256008832204,2463.256008832204,170.7813465704948,170.7813465704948,170.7813465704948,2208.5741515945706,2208.5741515945706,2208.5741515945706,37.234269103948535,37.234269103948535,37.234269103948535,2208.5741515945706,2208.5741515945706,2208.5741515945706,-28.901273251773777,-28.901273251773777,-28.901273251773777,75.56751481496339,75.56751481496339,75.56751481496339,0.0,0.0,0.0,12166.98364724772
10,2024-08-01 10:00:00,9703.739500231335,8856.464374271018,12482.581438200232,9703.739500231335,9703.739500231335,1005.9896554746408,1005.9896554746408,1005.9896554746408,95.10699268006073,95.10699268006073,95.10699268006073,828.172475009946,828.172475009946,828.172475009946,33.57727764133085,33.57727764133085,33.57727764133085,828.172475009946,828.172475009946,828.172475009946,-25.559355517254946,-25.559355517254946,-25.559355517254946,74.6922656605581,74.6922656605581,74.6922656605581,0.0,0.0,0.0,10709.729155705976
11,2024-08-01 11:00:00,9703.751362047156,8581.6928429435,12163.837366257434,9703.751362047156,9703.751362047156,679.4705662735008,679.4705662735008,679.4705662735008,30.949317517816265,30.949317517816265,30.949317517816265,567.0452046670483,567.0452046670483,567.0452046670483,29.82321654548745,29.82321654548745,29.82321654548745,567.0452046670483,567.0452046670483,567.0452046670483,-22.15413730814041,-22.15413730814041,-22.15413730814041,73.80696485128912,73.80696485128912,73.80696485128912,0.0,0.0,0.0,10383.221928320658
12,2024-08-01 12:00:00,9703.763223862976,8911.410559016145,12520.335222138254,9703.763223862976,9703.763223862976,1034.5626975463422,1034.5626975463422,1034.5626975463422,36.614097034339444,36.614097034339444,36.614097034339444,917.7144275092842,917.7144275092842,917.7144275092842,26.0054183151709,26.0054183151709,26.0054183151709,917.7144275092842,917.7144275092842,917.7144275092842,-18.682907162109355,-18.682907162109355,-18.682907162109355,72.91166184965681,72.91166184965681,72.91166184965681,0.0,0.0,0.0,10738.325921409318
13,2024-08-01 13:00:00,9703.775085678797,9339.441066515396,12875.984185857506,9703.775085678797,9703.775085678797,1518.8986938016765,1518.8986938016765,1518.8986938016765,110.40193044864523,110.40193044864523,110.40193044864523,1329.4750809976201,1329.4750809976201,1329.4750809976201,22.15718425498484,22.15718425498484,22.15718425498484,1329.4750809976201,1329.4750809976201,1329.4750809976201,-15.141908424360848,-15.141908424360848,-15.141908424360848,72.00640652478722,72.00640652478722,72.00640652478722,0.0,0.0,0.0,11222.673779480474
14,2024-08-01 14:00:00,9703.786947494616,10421.08934647361,14087.688998453348,9703.786947494616,9703.786947494616,2466.671372556673,2466.671372556673,2466.671372556673,210.87676926570336,210.87676926570336,210.87676926570336,2177.9181629310046,2177.9181629310046,2177.9181629310046,18.311541914167485,18.311541914167485,18.311541914167485,2177.9181629310046,2177.9181629310046,2177.9181629310046,-11.526350704223802,-11.526350704223802,-11.526350704223802,71.09124915002093,71.09124915002093,71.09124915002093,0.0,0.0,0.0,12170.45832005129
15,2024-08-01 15:00:00,9703.798809310436,10771.238274809582,14597.890694286147,9703.798809310436,9703.798809310436,2911.434264002725,2911.434264002725,2911.434264002725,296.3060240544544,296.3060240544544,296.3060240544544,2538.2914397386858,2538.2914397386858,2538.2914397386858,14.501006209622876,14.501006209622876,14.501006209622876,2538.2914397386858,2538.2914397386858,2538.2914397386858,-7.830446400264654,-7.830446400264654,-7.830446400264654,70.16624040022667,70.16624040022667,70.16624040022667,0.0,0.0,0.0,12615.23307331316
16,2024-08-01 16:00:00,9703.810671126257,11736.148437401216,15121.280023450005,9703.810671126257,9703.810671126257,3630.4775166054346,3630.4775166054346,3630.4775166054346,348.87051510860505,348.87051510860505,348.87051510860505,3205.665696544098,3205.665696544098,3205.665696544098,10.757345992223474,10.757345992223474,10.757345992223474,3205.665696544098,3205.665696544098,3205.665696544098,-4.047472389243203,-4.047472389243203,-4.047472389243203,69.23143134975126,69.23143134975126,69.23143134975126,0.0,0.0,0.0,13334.288187731692
17,2024-08-01 17:00:00,9703.822532942077,12971.07716221381,16564.43306953764,9703.822532942077,9703.822532942077,5057.639399987677,5057.639399987677,5057.639399987677,371.64242391991274,371.64242391991274,371.64242391991274,4610.768601404402,4610.768601404402,4610.768601404402,7.1113577700016375,7.1113577700016375,7.1113577700016375,4610.768601404402,4610.768601404402,4610.768601404402,-0.1698565753735969,-0.1698565753735969,-0.1698565753735969,68.28687346873369,68.28687346873369,68.28687346873369,0.0,0.0,0.0,14761.461932929753
18,2024-08-01 18:00:00,9703.834394757898,12564.55593483138,16048.010566372996,9703.834394757898,9703.834394757898,4559.907809875248,4559.907809875248,4559.907809875248,372.6181826782079,372.6181826782079,372.6181826782079,4112.553648951188,4112.553648951188,4112.553648951188,3.592648241009526,3.592648241009526,3.592648241009526,4112.553648951188,4112.553648951188,4112.553648951188,3.810711383382046,3.810711383382046,3.810711383382046,67.3326186214596,67.3326186214596,67.3326186214596,0.0,0.0,0.0,14263.742204633145
19,2024-08-01 19:00:00,9703.846256573717,11315.203168314738,14893.698437729916,9703.846256573717,9703.846256573717,3402.51992580112,3402.51992580112,3402.51992580112,355.47077857861046,355.47077857861046,355.47077857861046,2972.5478546923728,2972.5478546923728,2972.5478546923728,0.22942722774015906,0.22942722774015906,0.22942722774015906,2972.5478546923728,2972.5478546923728,2972.5478546923728,7.9031462382036,7.9031462382036,7.9031462382036,66.36871906419258,66.36871906419258,66.36871906419258,0.0,0.0,0.0,13106.366182374837
20,2024-08-01 20:00:00,9703.858118389539,10485.671603884131,14139.107249821747,9703.858118389539,9703.858118389539,2664.733874956389,2664.733874956389,2664.733874956389,321.1695811636931,321.1695811636931,321.1695811636931,2269.0039421975725,2269.0039421975725,2269.0039421975725,-2.9516874956660426,-2.9516874956660426,-2.9516874956660426,2269.0039421975725,2269.0039421975725,2269.0039421975725,12.116811649529943,12.116811649529943,12.116811649529943,65.39522744125938,65.39522744125938,65.39522744125938,0.0,0.0,0.0,12368.591993345928
21,2024-08-01 21:00:00,9703.869980205356,11241.429076256845,14921.875483808106,9703.869980205356,9703.869980205356,3353.919473393193,3353.919473393193,3353.919473393193,269.59263344060054,269.59263344060054,269.59263344060054,3009.379150424859,3009.379150424859,3009.379150424859,-5.925852075394285,-5.925852075394285,-5.925852075394285,3009.379150424859,3009.379150424859,3009.379150424859,16.461344819381907,16.461344819381907,16.461344819381907,64.41219678374634,64.41219678374634,64.41219678374634,0.0,0.0,0.0,13057.789453598549
22,2024-08-01 22:00:00,9703.881842021176,12052.568198882205,15646.593496780722,9703.881842021176,9703.881842021176,4090.8006151704835,4090.8006151704835,4090.8006151704835,193.4520584561857,193.4520584561857,193.4520584561857,3821.6525766688555,3821.6525766688555,3821.6525766688555,-8.67016384394801,-8.67016384394801,-8.67016384394801,3821.6525766688555,3821.6525766688555,3821.6525766688555,20.946463383655658,20.946463383655658,20.946463383655658,63.41968050573426,63.41968050573426,63.41968050573426,0.0,0.0,0.0,13794.682457191659
23,2024-08-01 23:00:00,9703.893703836997,11619.319720285706,15226.544877253491,9703.893703836997,9703.893703836997,3731.9136003393,3731.9136003393,3731.9136003393,72.939042659727,72.939042659727,72.939042659727,3582.138881067178,3582.138881067178,3582.138881067178,-11.163812804521779,-11.163812804521779,-11.163812804521779,3582.138881067178,3582.138881067178,3582.138881067178,25.58175701390286,25.58175701390286,25.58175701390286,62.417732403014185,62.417732403014185,62.417732403014185,0.0,0.0,0.0,13435.807304176296
24,2024-08-02 00:00:00,9703.905565652816,8245.16665250057,11777.563199613165,9703.905565652816,9703.905565652816,398.7349617203079,398.7349617203079,398.7349617203079,-113.27415775417799,-113.27415775417799,-113.27415775417799,433.6144626421725,433.6144626421725,433.6144626421725,-13.388216260834396,-13.388216260834396,-13.388216260834396,433.6144626421725,433.6144626421725,433.6144626421725,30.376466444438602,30.376466444438602,30.376466444438602,61.40640664870925,61.40640664870925,61.40640664870925,0.0,0.0,0.0,10102.640527373123
25,2024-08-02 01:00:00,9703.917427468637,5392.232292600475,8864.971022928827,9703.917427468637,9703.917427468637,-2588.7210220928514,-2588.7210220928514,-2588.7210220928514,-359.5737410570307,-359.5737410570307,-359.5737410570307,-2309.5451560444494,-2309.5451560444494,-2309.5451560444494,-15.327135668629161,-15.327135668629161,-15.327135668629161,-2309.5451560444494,-2309.5451560444494,-2309.5451560444494,35.339252885209476,35.339252885209476,35.339252885209476,60.38575779204871,60.38575779204871,60.38575779204871,0.0,0.0,0.0,7115.196405375786
26,2024-08-02 02:00:00,9703.929289284457,3017.36484396601,6609.682123150342,9703.929289284457,9703.929289284457,-4848.542753847835,-4848.542753847835,-4848.542753847835,-610.2583469498824,-610.2583469498824,-610.2583469498824,-4321.151433745098,-4321.151433745098,-4321.151433745098,-16.96677490853494,-16.96677490853494,-16.96677490853494,-4321.151433745098,-4321.151433745098,-4321.151433745098,40.47796100023205,40.47796100023205,40.47796100023205,59.355840755448014,59.355840755448014,59.355840755448014,0.0,0.0,0.0,4855.386535436622
27,2024-08-02 03:00:00,9703.941151100278,2037.3898924129237,5747.2142365803975,9703.941151100278,9703.941151100278,-5860.350968992434,-5860.350968992434,-5860.350968992434,-770.8424698844401,-770.8424698844401,-770.8424698844401,-5175.328729385337,-5175.328729385337,-5175.328729385337,-18.295859337402817,-18.295859337402817,-18.295859337402817,-5175.328729385337,-5175.328729385337,-5175.328729385337,45.79937878370611,45.79937878370611,45.79937878370611,58.31671083104032,58.31671083104032,58.31671083104032,0.0,0.0,0.0,3843.590182107844
