,Manhattan,Staten Island,Brooklyn,Queens,Bronx,EWR
0,20693.60611793001,25528.287407576274,8593.419848134687,25295.802245912448,2468.3276759514256,8593.556862846604
1,14991.241625639821,18277.75734702166,6254.04693258035,18113.700431641002,1795.3490514014381,6253.451384657909
2,9552.931755551503,11540.403221579114,3896.6077000641376,11448.47053161007,1102.768522223303,3895.4267567783622
3,6044.871542992589,7478.772087180776,2471.229309452797,7425.447855731523,726.4067893278633,2469.8736844062755
4,5890.187968185443,7821.490470549783,2772.8766838861607,7730.169875633548,988.6670743311233,2771.8667961419515
5,9323.160005959087,12705.432645395878,4862.793274485691,12485.418912256433,1932.7692618378505,4862.504726927406
6,15031.471928578749,20301.870501291454,7901.533843226561,19898.89520441246,3208.444750831047,7902.004046970038
7,20772.775718020082,27669.261730922244,10588.548181688715,27101.174637434262,4244.947217330951,10589.481899504994
8,24614.835209169545,32361.85143662901,11933.023583616377,31709.398458327065,4612.541726832112,11934.001539741617
9,25944.85348496391,33706.56265483756,11807.211698547417,33062.668635625574,4301.263458694612,11807.962623062254
10,25567.887992539472,32888.86770358768,10899.697315382231,32302.914259109006,3698.9109670167395,10900.25241393185
11,24923.57213650685,31890.48844604389,10153.674576373141,31347.89795143764,3291.5471141589824,10154.314993715698
12,25089.50953850331,32146.50918397904,10147.331475241253,31595.005843916573,3329.79562383914,10148.387732747546
13,26289.475973046796,33873.3284195727,10851.838664783561,33270.755310217806,3713.0547404144263,10853.490640444346
14,28106.7952730129,36363.02837712733,11845.415180644835,35708.43085908924,4144.246285215176,11847.613818151889
15,30023.66158091991,38767.28326740008,12707.030703248178,38095.96205923121,4386.616007522005,12709.55829194423
16,31762.007831151666,40652.38869850694,13253.218064491259,40007.103338811896,4403.286085895039,13255.814381232669
17,33232.72060648799,41996.97191704967,13508.58952375689,41403.13800315329,4302.045155514397,13511.056294201691
18,34312.917944217246,42859.73797648457,13553.620539442953,42321.68113903715,4188.936439915518,13555.862458768219
19,34762.17641957699,43139.02302511259,13436.472755370918,42651.78734542401,4084.9039434642395,13438.48247665638
20,34337.53658625587,42592.94377728423,13181.984922068652,42152.851372860896,3956.0929392245553,13183.79489960144
21,32908.83034373504,40958.07111113485,12793.446890710164,40563.42272186157,3779.5669935680585,12795.064849242011
22,30411.447323389624,37976.75540906051,12184.749408575914,37624.90552120245,3549.9240257355323,12186.098471943362
23,26741.663989153374,33397.80060197937,11136.514054010311,33088.16766326569,3231.8665324962585,11137.417110686205
24,21853.733346110734,27180.43968833788,9425.532962474175,26921.581730336045,2752.8406437298745,9425.780427338175
25,16123.225236956336,19930.577612236353,7119.568737362313,19738.204627026353,2095.250931248966,7119.061113239987
26,10662.714139142212,13199.138327728666,4796.972471753063,13076.917799514495,1417.762419404725,4795.856437259575
27,7137.808222970261,9147.674215738783,3407.257490448387,9062.104042813273,1055.7986038440613,3405.9433057320452
28,6971.209016563169,9504.091360842744,3744.853076230209,9378.632206597,1331.3752806417247,3743.8607875784105
29,10397.849887120587,14405.741797594746,5870.898984307306,14149.804174338684,2287.5234531341926,5870.603836045707
30,16107.486048176957,22025.862199278803,8946.379061331636,21585.30173511913,3574.066326489167,8946.817968270205
31,21860.62908428499,29425.65652974323,11671.43298394934,28818.443746360266,4620.5098957217015,11672.309938182578
32,25727.446334936674,34161.57990931527,13055.72321284823,33468.581688742895,4997.279100319933,13056.617871037319
33,27096.07388575292,35561.182028868854,12971.420301465225,34875.47133883786,4694.281736306159,12972.060139981833
34,26770.92229763489,34808.89982799127,12106.499450070118,34180.0635201081,4098.918581953022,12106.914406285032
35,26190.165300825553,33884.613124019714,11403.361577364942,33298.34502626194,3696.7965114517324,11403.831642723546
36,26430.115268099995,34221.8429414451,11439.59869191251,33626.18610277345,3738.2612409742837,11440.45338263942
37,27713.90849663648,36036.2465316878,12186.131746038607,35389.37875443419,4122.693632551885,12187.550043907126
38,29624.667834746077,38619.747948187694,13221.145282113333,37921.044696047975,4553.150745604119,13223.07729656725
39,31644.29101023183,41123.81220310603,14123.548500393934,40408.90210852105,4792.986144727272,14125.775738080049
40,33493.98459749757,43114.02863363081,14709.643450376143,42426.01420324288,4805.304747923624,14711.904979430534
41,35083.53545512183,44567.829876822485,15003.661192206631,43932.4984373302,4697.792197279452,15005.758130705035
42,36288.81834239587,45542.51699989812,15085.641359313202,44964.59352188332,4576.406410816777,15087.477915553372
43,36868.1176368774,45935.01948445203,15003.311944203173,45409.962804088515,4462.08262710687,15004.880431651032
44,36577.0327369906,45502.041943589924,14781.077623252802,45026.59284295613,4321.0125282880035,14782.410352631143
45,35283.70739612459,43978.65694227505,14421.795944167925,43551.53423710776,4130.314777871072,14422.900750753544
46,32921.6615005388,41105.625551926336,13838.972474240323,40724.599387933304,3884.6460500723215,13839.772879091668
47,29385.24453454832,36630.089885334506,12812.921630654248,36294.98521540391,3548.80413226174,12813.241195914567
48,24626.651250680978,30509.403424507465,11120.130928973545,30229.163937636848,3050.3714812153926,11119.760995122564
49,19018.925225966705,23347.041229202052,8827.883872925138,23137.73403559708,2371.864235378224,8826.726137090294
50,13671.35832538055,16690.72719957502,6513.747353059256,16556.3525017223,1671.9477870101844,6511.950041561234
51,10245.728072124739,12698.338252229,5126.235789402559,12605.714096754558,1285.933330634308,5124.211174891346
52,10161.173553492987,13094.50142510978,5458.893363168784,12967.400632987334,1535.7444408457388,5457.164020871421
53,13650.298407315538,18014.64972193775,7572.449071088971,17762.772452592195,2464.5257832945185,7571.393223135292
54,19402.14254662188,25631.788095874443,10628.05777794853,25201.22821919916,3722.4992201507807,10627.715605280866
55,25177.53212906411,33007.90734251532,13326.346277494324,32416.79898777196,4739.7311510120635,13326.425173938094
56,29046.775252118678,37699.98480309762,14677.31064586167,37029.284920663296,5087.112633344627,14677.393759266892
57,30396.99879244756,39034.81256951992,14552.965450123036,38377.635956137754,4754.725437053071,14552.783917290468
58,30030.379630300984,38194.74023789866,13640.672950283533,37600.696467040056,4129.86605273975,13640.260671713266
59,29382.431480464937,37157.11109217717,12882.11326465072,36611.906716503516,3697.968101668586,12881.75458225705
60,29527.388311296443,37353.56711300529,12854.434132470951,36805.22993080106,3709.368520836446,12854.463282273151
61,30687.395001426707,38999.10421803535,13528.54054533371,38405.738985874006,4063.683916966706,13529.141501980768
62,32445.473673776014,41385.97629337625,14482.900204750807,40746.80965210334,4464.341207789879,14484.02823452155
63,34283.789758622006,43666.3428526568,15296.76439077014,43016.78460542649,4675.01569522456,15298.206244084582
64,35923.85756371563,45406.40901353827,15786.691904198804,44789.294195981776,4658.986308207706,15788.191932070811
65,37275.86871413806,46584.15078520828,15977.10421797842,46024.96918610008,4524.00262189719,15978.468814568152
66,38216.42423047112,47257.61162472556,15948.258961660393,46760.76502521736,4376.078411746605,15949.397549162532
67,38504.93975329804,47324.856481328476,15748.183657316391,46885.448889834326,4236.254422391418,15749.093651556543
68,37898.4340639918,46544.09809990013,15401.657625004389,46158.47911466131,4070.855298780919,15402.37630042169
69,36266.637963817615,44652.18652718085,14911.985587709945,44318.650220695905,3857.1131182371055,14912.525587819546
70,33544.86364839086,41391.89766803008,14193.232472729092,41107.76178109764,3589.773181392793,14193.521931095023
71,29629.549646950487,36512.61269308133,13026.4085597312,36277.22344695108,3233.7300962234767,13026.275375161991
72,24475.164802387026,29973.967463968384,11188.750845362973,29795.760128944356,2716.6762443745456,11187.990328755854
73,18456.833080247772,22381.390648684966,8748.160746539144,22275.895040235373,2021.185706543439,8746.678154980611
74,12685.398793545402,15283.96846907222,6282.552023776858,15254.631337388722,1305.8443936675496,6280.4987626021775
75,8823.822989284432,10840.59809676703,4740.59587051618,10853.68826958147,905.7463964679736,4738.387073275958
76,8292.823460872254,10777.408724386647,4916.121685408062,10756.167065011536,1142.5948388477145,4914.2824805832215
77,11327.887868160244,15232.731371732534,6870.622295212093,15086.337065932876,2059.498156429104,6869.533049862211
78,16622.571183623306,22384.141303036497,9766.591763657127,22058.1572811098,3306.9072877039193,9766.294210353552
79,21943.204145063788,29299.151670402054,12306.294908184735,28811.15548605386,4315.261930130646,12306.497231071306
80,25365.327994948213,33539.879523680895,13501.184109485343,32970.25409931664,4655.7169477160905,13501.469433550437
81,26279.99826432211,34436.807831812075,13224.201516211393,33878.108323071756,4318.31301868723,13224.300226099418
82,25491.88563622944,33174.42850555902,12163.130154646416,32675.754280950612,3690.01707735585,12163.074816967113
83,24438.306756275266,31731.511069959844,11259.902723327916,31278.12225234058,3255.8566380675425,11259.97587315486
84,24195.563796800983,31541.468612541106,11092.125680008668,31080.996850114905,3265.9220735869512,11092.65928967098
85,24988.59166305569,32821.93037098368,11631.511092311184,32312.108417060677,3619.8256766627605,11632.68636356314
86,26403.682777233276,34868.37973493991,12457.543966729427,34308.071242156766,4021.1245200163403,12459.31282797962
87,27926.18974127224,36836.13979238097,13150.45470181539,36260.4083439004,4233.578864740928,13152.599985997153
88,29280.365998301706,38294.038603756075,13527.591381940883,37745.41224183556,4220.410276668637,13529.852965995862
