,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,hourly,hourly_lower,hourly_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2024-08-01 00:00:00,32596.183455154736,19175.73333252134,36586.06436773833,32596.183455154736,32596.183455154736,-5008.5621281802905,-5008.5621281802905,-5008.5621281802905,-4062.1962141753106,-4062.1962141753106,-4062.1962141753106,132.39040564618423,132.39040564618423,132.39040564618423,-373.62328480116935,-373.62328480116935,-373.62328480116935,-705.1330348499941,-705.1330348499941,-705.1330348499941,0.0,0.0,0.0,27587.621326974448
1,2024-08-01 01:00:00,32596.30505113645,12350.537426657087,29628.771409910336,32596.30505113645,32596.30505113645,-11575.473251973475,-11575.473251973475,-11575.473251973475,-10697.804556919544,-10697.804556919544,-10697.804556919544,128.23893447506867,128.23893447506867,128.23893447506867,-295.2066354459542,-295.2066354459542,-295.2066354459542,-710.7009940830459,-710.7009940830459,-710.7009940830459,0.0,0.0,0.0,21020.831799162974
2,2024-08-01 02:00:00,32596.42664711816,6247.891259468137,23292.735908629613,32596.42664711816,32596.42664711816,-17906.227076658794,-17906.227076658794,-17906.227076658794,-17095.98879331927,-17095.98879331927,-17095.98879331927,123.0035094328556,123.0035094328556,123.0035094328556,-216.94504637534885,-216.94504637534885,-216.94504637534885,-716.2967463970327,-716.2967463970327,-716.2967463970327,0.0,0.0,0.0,14690.199570459368
3,2024-08-01 03:00:00,32596.548243099875,2427.967048712219,19359.59241845313,32596.548243099875,32596.548243099875,-21942.733603568333,-21942.733603568333,-21942.733603568333,-21198.45529342311,-21198.45529342311,-21198.45529342311,116.74550230469188,116.74550230469188,116.74550230469188,-139.10373317777254,-139.10373317777254,-139.10373317777254,-721.9200792721407,-721.9200792721407,-721.9200792721407,0.0,0.0,0.0,10653.814639531542
4,2024-08-01 04:00:00,32596.66983908159,1280.3693040615153,20205.229908442616,32596.66983908159,32596.66983908159,-21868.50285408856,-21868.50285408856,-21868.50285408856,-21188.543367569655,-21188.543367569655,-21188.543367569655,109.53235541932492,109.53235541932492,109.53235541932492,-61.921062703092694,-61.921062703092694,-61.921062703092694,-727.5707792351388,-727.5707792351388,-727.5707792351388,0.0,0.0,0.0,10728.16698499303
5,2024-08-01 05:00:00,32596.791435063296,6726.896697907063,23875.708503245725,32596.791435063296,32596.791435063296,-17388.578117537745,-17388.578117537745,-17388.578117537745,-16771.163531324506,-16771.163531324506,-16771.163531324506,101.43709836852216,101.43709836852216,101.43709836852216,14.396947290120965,14.396947290120965,14.396947290120965,-733.248631871879,-733.248631871879,-733.248631871879,0.0,0.0,0.0,15208.213317525551
6,2024-08-01 06:00:00,32596.913031045013,13418.789055982825,31554.30008699762,32596.913031045013,32596.913031045013,-10205.760739492893,-10205.760739492893,-10205.760739492893,-9649.02671872681,-9649.02671872681,-9649.02671872681,92.53782879462696,92.53782879462696,92.53782879462696,89.68157228153166,89.68157228153166,89.68157228153166,-738.953421842242,-738.953421842242,-738.953421842242,0.0,0.0,0.0,22391.15229155212
7,2024-08-01 07:00:00,32597.034627026726,20369.84724801827,38368.92986203364,32597.034627026726,32597.034627026726,-3174.7457395128035,-3174.7457395128035,-3174.7457395128035,-2676.7836517736687,-2676.7836517736687,-2676.7836517736687,82.91716092019112,82.91716092019112,82.91716092019112,163.8056842224254,163.8056842224254,163.8056842224254,-744.6849328817501,-744.6849328817501,-744.6849328817501,0.0,0.0,0.0,29422.28888751392
8,2024-08-01 08:00:00,32597.156223008435,25466.961422683926,43206.33656661968,32597.156223008435,32597.156223008435,1346.1304895693665,1346.1304895693665,1346.1304895693665,1787.2244531999797,1787.2244531999797,1787.2244531999797,72.66164572331817,72.66164572331817,72.66164572331817,236.6873384631397,236.6873384631397,236.6873384631397,-750.4429478170706,-750.4429478170706,-750.4429478170706,0.0,0.0,0.0,33943.2867125778
9,2024-08-01 09:00:00,32597.277818990147,26477.266489737845,43864.65569190931,32597.277818990147,32597.277818990147,2762.0735644458923,2762.0735644458923,2762.0735644458923,3148.147067273792,3148.147067273792,3148.147067273792,61.86116685366434,61.86116685366434,61.86116685366434,308.2925788956952,308.2925788956952,308.2925788956952,-756.2272485772589,-756.2272485772589,-756.2272485772589,0.0,0.0,0.0,35359.35138343604
