,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,hourly,hourly_lower,hourly_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2024-08-01 00:00:00,10909.124348187433,6346.998363470402,12374.507244576676,10909.124348187433,10909.124348187433,-1612.3569144746643,-1612.3569144746643,-1612.3569144746643,-965.8911361101655,-965.8911361101655,-965.8911361101655,89.49859678891514,89.49859678891514,89.49859678891514,-522.3778183022364,-522.3778183022364,-522.3778183022364,-213.58655685117776,-213.58655685117776,-213.58655685117776,0.0,0.0,0.0,9296.767433712768
1,2024-08-01 01:00:00,10909.198033095261,4360.130378688395,10031.313403724887,10909.198033095261,10909.198033095261,-3715.1015116812255,-3715.1015116812255,-3715.1015116812255,-3088.8836050142554,-3088.8836050142554,-3088.8836050142554,89.41571610243723,89.41571610243723,89.41571610243723,-501.32736155553744,-501.32736155553744,-501.32736155553744,-214.30626121386987,-214.30626121386987,-214.30626121386987,0.0,0.0,0.0,7194.096521414036
2,2024-08-01 02:00:00,10909.271718003087,2115.0270317858653,8020.470143894902,10909.271718003087,10909.271718003087,-5860.3248106836545,-5860.3248106836545,-5860.3248106836545,-5254.4890979406,-5254.4890979406,-5254.4890979406,88.84413596171692,88.84413596171692,88.84413596171692,-479.6462160634249,-479.6462160634249,-479.6462160634249,-215.0336326413455,-215.0336326413455,-215.0336326413455,0.0,0.0,0.0,5048.946907319432
3,2024-08-01 03:00:00,10909.345402910916,1099.2763165554163,6526.536126086582,10909.345402910916,10909.345402910916,-7233.8976961148865,-7233.8976961148865,-7233.8976961148865,-6648.600638383611,-6648.600638383611,-6648.600638383611,87.79917929638239,87.79917929638239,87.79917929638239,-457.32759205131697,-457.32759205131697,-457.32759205131697,-215.76864497634165,-215.76864497634165,-215.76864497634165,0.0,0.0,0.0,3675.4477067960297
4,2024-08-01 04:00:00,10909.419087818744,1158.8892550754501,6742.736985989638,10909.419087818744,10909.419087818744,-7117.813764457104,-7117.813764457104,-7117.813764457104,-6553.239099870183,-6553.239099870183,-6553.239099870183,86.29898238668508,86.29898238668508,86.29898238668508,-434.3623752312557,-434.3623752312557,-434.3623752312557,-216.51127174235046,-216.51127174235046,-216.51127174235046,0.0,0.0,0.0,3791.6053233616394
5,2024-08-01 05:00:00,10909.49277272657,2495.737350910935,8440.309539934146,10909.49277272657,10909.49277272657,-5407.877804366278,-5407.877804366278,-5407.877804366278,-4864.242385410908,-4864.242385410908,-4864.242385410908,84.3643461804153,84.3643461804153,84.3643461804153,-410.7382789906881,-410.7382789906881,-410.7382789906881,-217.2614861450964,-217.2614861450964,-217.2614861450964,0.0,0.0,0.0,5501.614968360292
6,2024-08-01 06:00:00,10909.566457634395,5181.99944319183,10713.16162479191,10909.566457634395,10909.566457634395,-2791.0526232077846,-2791.0526232077846,-2791.0526232077846,-2268.6128569684097,-2268.6128569684097,-2268.6128569684097,82.01857040352112,82.01857040352112,82.01857040352112,-386.4390755677892,-386.4390755677892,-386.4390755677892,-218.01926107510658,-218.01926107510658,-218.01926107510658,0.0,0.0,0.0,8118.513834426611
7,2024-08-01 07:00:00,10909.640142542223,7597.653986274789,13363.320708262248,10909.640142542223,10909.640142542223,-387.68657672818944,-387.68657672818944,-387.68657672818944,113.25464536458901,113.25464536458901,113.25464536458901,79.28727173715544,79.28727173715544,79.28727173715544,-361.4439247224588,-361.4439247224588,-361.4439247224588,-218.78456910747536,-218.78456910747536,-218.78456910747536,0.0,0.0,0.0,10521.953565814034
8,2024-08-01 08:00:00,10909.71382745005,9016.666532268906,14677.086854742063,10909.71382745005,10909.71382745005,917.4864345150379,917.4864345150379,917.4864345150379,1396.57244644246,1396.57244644246,1396.57244644246,76.19818744518848,76.19818744518848,76.19818744518848,-335.72681686828594,-335.72681686828594,-335.72681686828594,-219.55738250432486,-219.55738250432486,-219.55738250432486,0.0,0.0,0.0,11827.200261965088
9,2024-08-01 09:00:00,10909.787512357878,8996.11314812036,14798.505352314378,10909.787512357878,10909.787512357878,973.5962386986776,973.5962386986776,973.5962386986776,1430.409091946232,1430.409091946232,1430.409091946232,72.78096592900114,72.78096592900114,72.78096592900114,-309.25614596009797,-309.25614596009797,-309.25614596009797,-220.33767321645794,-220.33767321645794,-220.33767321645794,0.0,0.0,0.0,11883.383751056555
