,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,hourly,hourly_lower,hourly_upper,rolling_avg_w1-w4_lags,rolling_avg_w1-w4_lags_lower,rolling_avg_w1-w4_lags_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2024-08-01 00:00:00,9713.263746087536,5795.8899542754,9316.42196595356,9713.263746087536,9713.263746087536,-2144.2517334103327,-2144.2517334103327,-2144.2517334103327,-113.11223159883521,-113.11223159883521,-113.11223159883521,-2123.8326422773343,-2123.8326422773343,-2123.8326422773343,60.640659533937686,60.640659533937686,60.640659533937686,-2123.8326422773343,-2123.8326422773343,-2123.8326422773343,-56.00993381603366,-56.00993381603366,-56.00993381603366,88.06241474793262,88.06241474793262,88.06241474793262,0.0,0.0,0.0,7569.0120126772035
1,2024-08-01 01:00:00,9713.277453340803,3261.577180265407,6931.539797126636,9713.277453340803,9713.277453340803,-4634.685865591175,-4634.685865591175,-4634.685865591175,-358.9815543839218,-358.9815543839218,-358.9815543839218,-4368.971335052794,-4368.971335052794,-4368.971335052794,59.24528024290305,59.24528024290305,59.24528024290305,-4368.971335052794,-4368.971335052794,-4368.971335052794,-53.267445892049366,-53.267445892049366,-53.267445892049366,87.2891894946877,87.2891894946877,87.2891894946877,0.0,0.0,0.0,5078.591587749628
2,2024-08-01 02:00:00,9713.291160594068,1874.2533765459866,5492.571879923019,9713.291160594068,9713.291160594068,-6070.401272280346,-6070.401272280346,-6070.401272280346,-609.2040831859654,-609.2040831859654,-609.2040831859654,-5554.745185270745,-5554.745185270745,-5554.745185270745,57.49086902268044,57.49086902268044,57.49086902268044,-5554.745185270745,-5554.745185270745,-5554.745185270745,-50.44836028280847,-50.44836028280847,-50.44836028280847,86.50548743649296,86.50548743649296,86.50548743649296,0.0,0.0,0.0,3642.8898883137217
3,2024-08-01 03:00:00,9713.304867847333,1210.7533979544694,4844.418661838956,9713.304867847333,9713.304867847333,-6643.189381125213,-6643.189381125213,-6643.189381125213,-769.4606988389519,-769.4606988389519,-769.4606988389519,-5967.284180602386,-5967.284180602386,-5967.284180602386,55.40040600278139,55.40040600278139,55.40040600278139,-5967.284180602386,-5967.284180602386,-5967.284180602386,-47.55626183779188,-47.55626183779188,-47.55626183779188,85.71135415113525,85.71135415113525,85.71135415113525,0.0,0.0,0.0,3070.1154867221203
4,2024-08-01 04:00:00,9713.3185751006,1930.8260704442675,5429.678655929886,9713.3185751006,9713.3185751006,-5970.752491221213,-5970.752491221213,-5970.752491221213,-757.5037343513168,-757.5037343513168,-757.5037343513168,-5306.559960806523,-5306.559960806523,-5306.559960806523,52.99889281890784,52.99889281890784,52.99889281890784,-5306.559960806523,-5306.559960806523,-5306.559960806523,-44.59452452745503,-44.59452452745503,-44.59452452745503,84.90683564517413,84.90683564517413,84.90683564517413,0.0,0.0,0.0,3742.5660838793874
5,2024-08-01 05:00:00,9713.332282353866,3484.6779350633406,6932.584360389415,9713.332282353866,9713.332282353866,-4495.530078925712,-4495.530078925712,-4495.530078925712,-561.7830250097027,-561.7830250097027,-561.7830250097027,-4026.586029836373,-4026.586029836373,-4026.586029836373,50.31315729339713,50.31315729339713,50.31315729339713,-4026.586029836373,-4026.586029836373,-4026.586029836373,-41.56615972441104,-41.56615972441104,-41.56615972441104,84.09197835137829,84.09197835137829,84.09197835137829,0.0,0.0,0.0,5217.802203428154
6,2024-08-01 06:00:00,9713.345989607133,6075.139764861058,9613.454340476348,9713.345989607133,9713.345989607133,-1805.427874884662,-1805.427874884662,-1805.427874884662,-261.3061196056481,-261.3061196056481,-261.3061196056481,-1636.2865568853954,-1636.2865568853954,-1636.2865568853954,47.371646049294284,47.371646049294284,47.371646049294284,-1636.2865568853954,-1636.2865568853954,-1636.2865568853954,-38.47367356810734,-38.47367356810734,-38.47367356810734,83.26682912519436,83.26682912519436,83.26682912519436,0.0,0.0,0.0,7907.918114722471
7,2024-08-01 07:00:00,9713.3596968604,9742.201507727432,13276.761575052595,9713.3596968604,9713.3596968604,1795.8260784049367,1795.8260784049367,1795.8260784049367,15.113921803315018,15.113921803315018,15.113921803315018,1689.395450935185,1689.395450935185,1689.395450935185,44.20420663316415,44.20420663316415,44.20420663316415,1689.395450935185,1689.395450935185,1689.395450935185,-35.318936210911566,-35.318936210911566,-35.318936210911566,82.431435244184,82.431435244184,82.431435244184,0.0,0.0,0.0,11509.185775265336
8,2024-08-01 08:00:00,9713.373404113665,12248.59813520875,15590.971030779963,9713.373404113665,9713.373404113665,4248.468173827971,4248.468173827971,4248.468173827971,165.14798203923513,165.14798203923513,165.14798203923513,3992.995552139994,3992.995552139994,3992.995552139994,40.84186079992082,40.84186079992082,40.84186079992082,3992.995552139994,3992.995552139994,3992.995552139994,-32.10306555571557,-32.10306555571557,-32.10306555571557,81.58584440453667,81.58584440453667,81.58584440453667,0.0,0.0,0.0,13961.841577941635
9,2024-08-01 09:00:00,9713.387111366932,10353.059836078302,13872.01383277925,9713.387111366932,9713.387111366932,2467.432480696406,2467.432480696406,2467.432480696406,170.38532449147291,170.38532449147291,170.38532449147291,2207.8268087048937,2207.8268087048937,2207.8268087048937,37.316570668647884,37.316570668647884,37.316570668647884,2207.8268087048937,2207.8268087048937,2207.8268087048937,-28.826327887015996,-28.826327887015996,-28.826327887015996,80.73010471840729,80.73010471840729,80.73010471840729,0.0,0.0,0.0,12180.819592063337
