,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,hourly,hourly_lower,hourly_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2024-08-01 00:00:00,25792.44970179402,14365.493926386447,29526.002928916376,25792.44970179402,25792.44970179402,-3482.182117406646,-3482.182117406646,-3482.182117406646,-2845.641614953453,-2845.641614953453,-2845.641614953453,101.91441088804314,101.91441088804314,101.91441088804314,-103.32972579928499,-103.32972579928499,-103.32972579928499,-635.1251875419508,-635.1251875419508,-635.1251875419508,0.0,0.0,0.0,22310.267584387373
1,2024-08-01 01:00:00,25792.53655442121,9199.502060859873,25178.35859933989,25792.53655442121,25792.53655442121,-8811.789517345229,-8811.789517345229,-8811.789517345229,-8238.648365419247,-8238.648365419247,-8238.648365419247,98.6041445407024,98.6041445407024,98.6041445407024,-31.452533162663606,-31.452533162663606,-31.452533162663606,-640.2927633040217,-640.2927633040217,-640.2927633040217,0.0,0.0,0.0,16980.747037075984
2,2024-08-01 02:00:00,25792.623407048406,4214.8364514786135,19499.566058270928,25792.623407048406,25792.623407048406,-14088.16061543205,-14088.16061543205,-14088.16061543205,-13576.55895231562,-13576.55895231562,-13576.55895231562,94.28232608070842,94.28232608070842,94.28232608070842,39.60156386514718,39.60156386514718,39.60156386514718,-645.4855530622866,-645.4855530622866,-645.4855530622866,0.0,0.0,0.0,11704.462791616355
3,2024-08-01 03:00:00,25792.710259675598,582.2573494946386,16133.366112947679,25792.710259675598,25792.710259675598,-17662.274890938443,-17662.274890938443,-17662.274890938443,-17210.04814415677,-17210.04814415677,-17210.04814415677,89.00073828365036,89.00073828365036,89.00073828365036,109.47587792122896,109.47587792122896,109.47587792122896,-650.7033629865512,-650.7033629865512,-650.7033629865512,0.0,0.0,0.0,8130.435368737155
4,2024-08-01 04:00:00,25792.797112302796,-282.1990831540533,15373.175428797957,25792.797112302796,25792.797112302796,-17976.302265016715,-17976.302265016715,-17976.302265016715,-17581.017305860794,-17581.017305860794,-17581.017305860794,82.81690064125989,82.81690064125989,82.81690064125989,177.84413862018047,177.84413862018047,177.84413862018047,-655.9459984173611,-655.9459984173611,-655.9459984173611,0.0,0.0,0.0,7816.4948472860815
5,2024-08-01 05:00:00,25792.88396492999,2982.7122519920513,18761.691004499677,25792.88396492999,25792.88396492999,-14659.158938853361,-14659.158938853361,-14659.158938853361,-14318.156584280609,-14318.156584280609,-14318.156584280609,75.7936506418745,75.7936506418745,75.7936506418745,244.41725866283969,244.41725866283969,244.41725866283969,-661.2132638774663,-661.2132638774663,-661.2132638774663,0.0,0.0,0.0,11133.72502607663
6,2024-08-01 06:00:00,25792.970817557183,8916.430629132912,24305.964031279214,25792.970817557183,25792.970817557183,-8990.873006924427,-8990.873006924427,-8990.873006924427,-8701.316240650554,-8701.316240650554,-8701.316240650554,67.99869097775351,67.99869097775351,67.99869097775351,308.9495058339682,308.9495058339682,308.9495058339682,-666.5049630855946,-666.5049630855946,-666.5049630855946,0.0,0.0,0.0,16802.097810632757
7,2024-08-01 07:00:00,25793.05767018438,14835.047679322266,30268.78884621186,25793.05767018438,25793.05767018438,-3260.0285406573603,-3260.0285406573603,-3260.0285406573603,-3018.9557285863834,-3018.9557285863834,-3018.9557285863834,59.50410590523379,59.50410590523379,59.50410590523379,371.24398098153904,371.24398098153904,371.24398098153904,-671.8208989577491,-671.8208989577491,-671.8208989577491,0.0,0.0,0.0,22533.029129527018
8,2024-08-01 08:00:00,25793.14452281157,18205.55181127903,34378.494856820835,25793.14452281157,25793.14452281157,578.8781412642529,578.8781412642529,578.8781412642529,774.4958527611868,774.4958527611868,774.4958527611868,50.3858502043058,50.3858502043058,50.3858502043058,431.15731192021656,431.15731192021656,431.15731192021656,-677.160873621456,-677.160873621456,-677.160873621456,0.0,0.0,0.0,26372.022664075823
9,2024-08-01 09:00:00,25793.231375438765,20245.680272082896,35293.59660918032,25793.231375438765,25793.231375438765,1964.1990087164916,1964.1990087164916,1964.1990087164916,2117.3969989251286,2117.3969989251286,2117.3969989251286,40.72321436709451,40.72321436709451,40.72321436709451,488.6034838503687,488.6034838503687,488.6034838503687,-682.5246884261004,-682.5246884261004,-682.5246884261004,0.0,0.0,0.0,27757.430384155257
