,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,hourly,hourly_lower,hourly_upper,rolling_avg_w1-w4_lags,rolling_avg_w1-w4_lags_lower,rolling_avg_w1-w4_lags_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2024-08-01 00:00:00,23832.93798163753,13219.316607081375,22648.201565135554,23832.93798163753,23832.93798163753,-5810.418682809949,-5810.418682809949,-5810.418682809949,-310.52850935512873,-310.52850935512873,-310.52850935512873,-5860.453849262117,-5860.453849262117,-5860.453849262117,-19.431068066884777,-19.431068066884777,-19.431068066884777,-5860.453849262117,-5860.453849262117,-5860.453849262117,-7.026269484790938,-7.026269484790938,-7.026269484790938,387.0210133589714,387.0210133589714,387.0210133589714,0.0,0.0,0.0,18022.51929882758
1,2024-08-01 01:00:00,23832.957134213608,6989.069611894655,16611.54615119242,23832.957134213608,23832.957134213608,-11873.283464962084,-11873.283464962084,-11873.283464962084,-905.799732356422,-905.799732356422,-905.799732356422,-11326.891285185959,-11326.891285185959,-11326.891285185959,-22.048878556336923,-22.048878556336923,-22.048878556336923,-11326.891285185959,-11326.891285185959,-11326.891285185959,1.3995551987126755,1.3995551987126755,1.3995551987126755,380.0568759379203,380.0568759379203,380.0568759379203,0.0,0.0,0.0,11959.673669251524
2,2024-08-01 02:00:00,23832.97628678969,3662.143728890516,12950.171557587877,23832.97628678969,23832.97628678969,-15439.785354825774,-15439.785354825774,-15439.785354825774,-1494.446204374806,-1494.446204374806,-1494.446204374806,-14302.912831507034,-14302.912831507034,-14302.912831507034,-25.23701797444194,-25.23701797444194,-25.23701797444194,-14302.912831507034,-14302.912831507034,-14302.912831507034,9.748326631214633,9.748326631214633,9.748326631214633,373.0623723992933,373.0623723992933,373.0623723992933,0.0,0.0,0.0,8393.190931963916
3,2024-08-01 03:00:00,23832.995439365768,1684.6016533234065,11184.097781137865,23832.995439365768,23832.995439365768,-17190.219254909218,-17190.219254909218,-17190.219254909218,-1895.062593366781,-1895.062593366781,-1895.062593366781,-15650.219642174248,-15650.219642174248,-15650.219642174248,-28.943846325738804,-28.943846325738804,-28.943846325738804,-15650.219642174248,-15650.219642174248,-15650.219642174248,17.969023262546383,17.969023262546383,17.969023262546383,366.03780369500276,366.03780369500276,366.03780369500276,0.0,0.0,0.0,6642.77618445655
4,2024-08-01 04:00:00,23833.01459194185,2790.769420384742,12045.419699751712,23833.01459194185,23833.01459194185,-16308.817883060308,-16308.817883060308,-16308.817883060308,-1938.1094915273013,-1938.1094915273013,-1938.1094915273013,-14722.591159887283,-14722.591159887283,-14722.591159887283,-33.11448058378305,-33.11448058378305,-33.11448058378305,-14722.591159887283,-14722.591159887283,-14722.591159887283,26.01377714131038,26.01377714131038,26.01377714131038,358.9834717967484,358.9834717967484,358.9834717967484,0.0,0.0,0.0,7524.196708881542
5,2024-08-01 05:00:00,23833.03374451793,5400.9075035972655,14940.10144293593,23833.03374451793,23833.03374451793,-13846.765668200384,-13846.765668200384,-13846.765668200384,-1583.2236603236336,-1583.2236603236336,-1583.2236603236336,-12611.58925719655,-12611.58925719655,-12611.58925719655,-37.69121521009793,-37.69121521009793,-37.69121521009793,-12611.58925719655,-12611.58925719655,-12611.58925719655,33.838784851077556,33.838784851077556,33.838784851077556,351.89967967882035,351.89967967882035,351.89967967882035,0.0,0.0,0.0,9986.268076317545
6,2024-08-01 06:00:00,23833.052897094007,10994.728940105928,20379.439602039376,23833.052897094007,23833.052897094007,-8107.972895633455,-8107.972895633455,-8107.972895633455,-968.7979812651017,-968.7979812651017,-968.7979812651017,-7482.752838198517,-7482.752838198517,-7482.752838198517,-42.613961465598344,-42.613961465598344,-42.613961465598344,-7482.752838198517,-7482.752838198517,-7482.752838198517,41.405153996636045,41.405153996636045,41.405153996636045,344.78673129912573,344.78673129912573,344.78673129912573,0.0,0.0,0.0,15725.080001460552
7,2024-08-01 07:00:00,23833.07204967009,18907.554036697296,28234.45417113656,23833.07204967009,23833.07204967009,-162.01687855407027,-162.01687855407027,-162.01687855407027,-343.2232972428643,-343.2232972428643,-343.2232972428643,-157.2974827284356,-157.2974827284356,-157.2974827284356,-47.82070224584364,-47.82070224584364,-47.82070224584364,-157.2974827284356,-157.2974827284356,-157.2974827284356,48.67967206825984,48.67967206825984,48.67967206825984,337.6449315948135,337.6449315948135,337.6449315948135,0.0,0.0,0.0,23671.05517111602
8,2024-08-01 08:00:00,23833.091202246167,25747.218858882108,35282.13789295091,23833.091202246167,23833.091202246167,6631.8710432532625,6631.8710432532625,6631.8710432532625,79.4966410834711,79.4966410834711,79.4966410834711,6219.512289138851,6219.512289138851,6219.512289138851,-53.24795904370612,-53.24795904370612,-53.24795904370612,6219.512289138851,6219.512289138851,6219.512289138851,55.63548561195412,55.63548561195412,55.63548561195412,330.47458646269314,330.47458646269314,330.47458646269314,0.0,0.0,0.0,30464.96224549943
9,2024-08-01 09:00:00,23833.11035482225,22920.2470474502,32633.21739133974,23833.11035482225,23833.11035482225,4013.017027960498,4013.017027960498,4013.017027960498,235.09141706662888,235.09141706662888,235.09141706662888,3451.2281968763145,3451.2281968763145,3451.2281968763145,-58.83126756947176,-58.83126756947176,-58.83126756947176,3451.2281968763145,3451.2281968763145,3451.2281968763145,62.25267884331429,62.25267884331429,62.25267884331429,323.2760027437124,323.2760027437124,323.2760027437124,0.0,0.0,0.0,27846.127382782746
