,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,hourly,hourly_lower,hourly_upper,rolling_avg_w1-w4_lags,rolling_avg_w1-w4_lags_lower,rolling_avg_w1-w4_lags_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2024-08-01 00:00:00,23912.330679573657,13520.957594214917,22983.6255442498,23912.330679573657,23912.330679573657,-5758.933982710349,-5758.933982710349,-5758.933982710349,-312.3519506021117,-312.3519506021117,-312.3519506021117,-5853.346777091241,-5853.346777091241,-5853.346777091241,-17.02380045379346,-17.02380045379346,-17.02380045379346,-5853.346777091241,-5853.346777091241,-5853.346777091241,-9.416572660392195,-9.416572660392195,-9.416572660392195,433.2051180971898,433.2051180971898,433.2051180971898,0.0,0.0,0.0,18153.39669686331
1,2024-08-01 01:00:00,23912.363425426505,7463.83779336669,17072.36899572166,23912.363425426505,23912.363425426505,-11822.109065250539,-11822.109065250539,-11822.109065250539,-912.9713647398384,-912.9713647398384,-912.9713647398384,-11314.64568665488,-11314.64568665488,-11314.64568665488,-19.786065422243702,-19.786065422243702,-19.786065422243702,-11314.64568665488,-11314.64568665488,-11314.64568665488,-0.9408769846979633,-0.9408769846979633,-0.9408769846979633,426.2349285511205,426.2349285511205,426.2349285511205,0.0,0.0,0.0,12090.254360175966
2,2024-08-01 02:00:00,23912.396171279353,4024.286467637913,13271.467294744516,23912.396171279353,23912.396171279353,-15391.276835931283,-15391.276835931283,-15391.276835931283,-1506.9931673444974,-1506.9931673444974,-1506.9931673444974,-14287.869731798353,-14287.869731798353,-14287.869731798353,-23.118122105680758,-23.118122105680758,-23.118122105680758,-14287.869731798353,-14287.869731798353,-14287.869731798353,7.470522939344285,7.470522939344285,7.470522939344285,419.233662377903,419.233662377903,419.233662377903,0.0,0.0,0.0,8521.11933534807
3,2024-08-01 03:00:00,23912.4289171322,2007.475247060868,10969.75928290853,23912.4289171322,23912.4289171322,-17143.57450805926,-17143.57450805926,-17143.57450805926,-1910.6638577641638,-1910.6638577641638,-1910.6638577641638,-15633.910055536366,-15633.910055536366,-15633.910055536366,-26.96826085981319,-26.96826085981319,-26.96826085981319,-15633.910055536366,-15633.910055536366,-15633.910055536366,15.766043757244399,15.766043757244399,15.766043757244399,412.20162234383866,412.20162234383866,412.20162234383866,0.0,0.0,0.0,6768.854409072941
4,2024-08-01 04:00:00,23912.46166298505,2868.636839324627,12248.246424546987,23912.46166298505,23912.46166298505,-16262.46490273474,-16262.46490273474,-16262.46490273474,-1953.0660933149622,-1953.0660933149622,-1953.0660933149622,-14707.153556778814,-14707.153556778814,-14707.153556778814,-31.281501794248165,-31.281501794248165,-31.281501794248165,-14707.153556778814,-14707.153556778814,-14707.153556778814,23.897136895164135,23.897136895164135,23.897136895164135,405.13911225812103,405.13911225812103,405.13911225812103,0.0,0.0,0.0,7649.996760250309
5,2024-08-01 05:00:00,23912.494408837894,5390.75537493094,15099.6171020368,23912.494408837894,23912.494408837894,-13798.649661379313,-13798.649661379313,-13798.649661379313,-1594.3792671937485,-1594.3792671937485,-1594.3792671937485,-12598.136024905558,-12598.136024905558,-12598.136024905558,-36.00001589441598,-36.00001589441598,-36.00001589441598,-12598.136024905558,-12598.136024905558,-12598.136024905558,31.819209658873127,31.819209658873127,31.819209658873127,398.0464369555365,398.0464369555365,398.0464369555365,0.0,0.0,0.0,10113.844747458581
6,2024-08-01 06:00:00,23912.527154690742,11032.475939447337,20721.58799889539,23912.527154690742,23912.527154690742,-8059.764415112968,-8059.764415112968,-8059.764415112968,-974.9964526311902,-974.9964526311902,-974.9964526311902,-7474.120782669377,-7474.120782669377,-7474.120782669377,-41.063565212957016,-41.063565212957016,-41.063565212957016,-7474.120782669377,-7474.120782669377,-7474.120782669377,39.49248312307742,39.49248312307742,39.49248312307742,390.9239022774795,390.9239022774795,390.9239022774795,0.0,0.0,0.0,15852.762739577774
7,2024-08-01 07:00:00,23912.55990054359,19223.239560679547,28405.90493345791,23912.55990054359,23912.55990054359,-116.65453570314038,-116.65453570314038,-116.65453570314038,-345.3477094332957,-345.3477094332957,-345.3477094332957,-155.55145596772337,-155.55145596772337,-155.55145596772337,-46.409958852473856,-46.409958852473856,-46.409958852473856,-155.55145596772337,-155.55145596772337,-155.55145596772337,46.88277348287427,46.88277348287427,46.88277348287427,383.7718150674783,383.7718150674783,383.7718150674783,0.0,0.0,0.0,23795.90536484045
8,2024-08-01 08:00:00,23912.59264639644,25904.46014652905,35355.242365232036,23912.59264639644,23912.59264639644,6673.510428112106,6673.510428112106,6673.510428112106,79.66925464087761,79.66925464087761,79.66925464087761,6215.264027024802,6215.264027024802,6215.264027024802,-51.97552133163995,-51.97552133163995,-51.97552133163995,6215.264027024802,6215.264027024802,6215.264027024802,53.962184626510506,53.962184626510506,53.962184626510506,376.5904831515566,376.5904831515566,376.5904831515566,0.0,0.0,0.0,30586.103074508545
9,2024-08-01 09:00:00,23912.625392249287,23214.17668384981,32464.63657286946,23912.625392249287,23912.625392249287,4058.124889295845,4058.124889295845,4058.124889295845,236.14838306060116,236.14838306060116,236.14838306060116,3449.5821598764023,3449.5821598764023,3449.5821598764023,-57.69556985105769,-57.69556985105769,-57.69556985105769,3449.5821598764023,3449.5821598764023,3449.5821598764023,60.70970088723894,60.70970088723894,60.70970088723894,369.38021532266015,369.38021532266015,369.38021532266015,0.0,0.0,0.0,27970.750281545133
10,2024-08-01 10:00:00,23912.658138102135,20462.275103736913,29714.690926235722,23912.658138102135,23912.658138102135,1390.905700507513,1390.905700507513,1390.905700507513,216.59939142767558,216.59939142767558,216.59939142767558,808.558214335267,808.558214335267,808.558214335267,-63.50489689754994,-63.50489689754994,-63.50489689754994,808.558214335267,808.558214335267,808.558214335267,67.11167031036621,67.11167031036621,67.11167031036621,362.14132133175434,362.14132133175434,362.14132133175434,0.0,0.0,0.0,25303.563838609647
11,2024-08-01 11:00:00,23912.69088395498,20332.05944893278,29745.598386031033,23912.69088395498,23912.69088395498,1365.3555987864142,1365.3555987864142,1365.3555987864142,175.11278977128697,175.11278977128697,175.11278977128697,831.5447814401526,831.5447814401526,831.5447814401526,-69.33825461163963,-69.33825461163963,-69.33825461163963,831.5447814401526,831.5447814401526,831.5447814401526,73.16217031452393,73.16217031452393,73.16217031452393,354.87411187209057,354.87411187209057,354.87411187209057,0.0,0.0,0.0,25278.046482741393
12,2024-08-01 12:00:00,23912.723629807828,21638.453517816095,30917.06077301356,23912.723629807828,23912.723629807828,2398.5610947008286,2398.5610947008286,2398.5610947008286,216.67343247327645,216.67343247327645,216.67343247327645,1830.576351767873,1830.576351767873,1830.576351767873,-75.13083732597867,-75.13083732597867,-75.13083732597867,1830.576351767873,1830.576351767873,1830.576351767873,78.86324922384881,78.86324922384881,78.86324922384881,347.5788985618087,347.5788985618087,347.5788985618087,0.0,0.0,0.0,26311.284724508656
13,2024-08-01 13:00:00,23912.756375660676,22586.939143037907,32103.015800278175,23912.756375660676,23912.756375660676,3384.5182695375315,3384.5182695375315,3384.5182695375315,352.7038708888015,352.7038708888015,352.7038708888015,2688.1521245270665,2688.1521245270665,2688.1521245270665,-80.81875869176733,-80.81875869176733,-80.81875869176733,2688.1521245270665,2688.1521245270665,2688.1521245270665,84.22503887903537,84.22503887903537,84.22503887903537,340.2559939343948,340.2559939343948,340.2559939343948,0.0,0.0,0.0,27297.27464519821
14,2024-08-01 14:00:00,23912.789121513524,24065.84794688086,33684.933991222126,23912.789121513524,23912.789121513524,4991.0024989598105,4991.0024989598105,4991.0024989598105,536.1046452706466,536.1046452706466,536.1046452706466,4119.065926806195,4119.065926806195,4119.065926806195,-86.3395198842893,-86.3395198842893,-86.3395198842893,4119.065926806195,4119.065926806195,4119.065926806195,89.26573534419505,89.26573534419505,89.26573534419505,332.9057114230631,332.9057114230631,332.9057114230631,0.0,0.0,0.0,28903.791620473334
15,2024-08-01 15:00:00,23912.821867366372,25278.95566741067,34545.367151546554,23912.821867366372,23912.821867366372,6008.454153334721,6008.454153334721,6008.454153334721,722.0291313570948,722.0291313570948,722.0291313570948,4958.517675501921,4958.517675501921,4958.517675501921,-91.63246541891816,-91.63246541891816,-91.63246541891816,4958.517675501921,4958.517675501921,4958.517675501921,94.01144654933117,94.01144654933117,94.01144654933117,325.5283653452925,325.5283653452925,325.5283653452925,0.0,0.0,0.0,29921.276020701094
16,2024-08-01 16:00:00,23912.85461321922,27035.696308905055,36295.32875716208,23912.85461321922,23912.85461321922,7777.861089661582,7777.861089661582,7777.861089661582,894.0601811982257,894.0601811982257,894.0601811982257,6563.819953221,6563.819953221,6563.819953221,-96.63922322675063,-96.63922322675063,-96.63922322675063,6563.819953221,6563.819953221,6563.819953221,98.49590757649928,98.49590757649928,98.49590757649928,318.12427089260717,318.12427089260717,318.12427089260717,0.0,0.0,0.0,31690.715702880803
