,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,hourly,hourly_lower,hourly_upper,rolling_avg_w1-w4_lags,rolling_avg_w1-w4_lags_lower,rolling_avg_w1-w4_lags_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2024-08-01 00:00:00,25177.260053374826,14897.669933402663,22269.31561259094,25177.260053374826,25177.260053374826,-6419.148073621142,-6419.148073621142,-6419.148073621142,-202.6581561402952,-202.6581561402952,-202.6581561402952,-6386.569042418697,-6386.569042418697,-6386.569042418697,-48.07026970888123,-48.07026970888123,-48.07026970888123,-6386.569042418697,-6386.569042418697,-6386.569042418697,-13.264097040152947,-13.264097040152947,-13.264097040152947,231.41349168688373,231.41349168688373,231.41349168688373,0.0,0.0,0.0,18758.111979753685
1,2024-08-01 01:00:00,25177.551117081828,8942.597818570508,16499.251557252224,25177.551117081828,25177.551117081828,-12584.790126415202,-12584.790126415202,-12584.790126415202,-698.1108488573187,-698.1108488573187,-698.1108488573187,-12053.89437380416,-12053.89437380416,-12053.89437380416,-51.34911938387268,-51.34911938387268,-51.34911938387268,-12053.89437380416,-12053.89437380416,-12053.89437380416,-5.744793330285865,-5.744793330285865,-5.744793330285865,224.30900896043335,224.30900896043335,224.30900896043335,0.0,0.0,0.0,12592.760990666626
2,2024-08-01 02:00:00,25177.842180788826,5005.729304796046,12676.098560228886,25177.842180788826,25177.842180788826,-16146.1264943075,-16146.1264943075,-16146.1264943075,-1170.997575428412,-1170.997575428412,-1170.997575428412,-15139.282708329927,-15139.282708329927,-15139.282708329927,-54.722960754172604,-54.722960754172604,-54.722960754172604,-15139.282708329927,-15139.282708329927,-15139.282708329927,1.6957705477672427,1.6957705477672427,1.6957705477672427,217.18097965724144,217.18097965724144,217.18097965724144,0.0,0.0,0.0,9031.715686481326
3,2024-08-01 03:00:00,25178.133244495828,3572.6664793445234,11136.910501375976,25178.133244495828,25178.133244495828,-17851.9799799755,-17851.9799799755,-17851.9799799755,-1476.804535054922,-1476.804535054922,-1476.804535054922,-16536.102137207563,-16536.102137207563,-16536.102137207563,-58.11891249399316,-58.11891249399316,-58.11891249399316,-16536.102137207563,-16536.102137207563,-16536.102137207563,9.01587548610138,9.01587548610138,9.01587548610138,210.02972929487723,210.02972929487723,210.02972929487723,0.0,0.0,0.0,7326.15326452033
4,2024-08-01 04:00:00,25178.424308202822,4606.499849371859,11979.162380016309,25178.424308202822,25178.424308202822,-16913.409532873146,-16913.409532873146,-16913.409532873146,-1496.5937179008608,-1496.5937179008608,-1496.5937179008608,-15574.383932727444,-15574.383932727444,-15574.383932727444,-61.46415032219311,-61.46415032219311,-61.46415032219311,-15574.383932727444,-15574.383932727444,-15574.383932727444,16.176684040514083,16.176684040514083,16.176684040514083,202.85558403683984,202.85558403683984,202.85558403683984,0.0,0.0,0.0,8265.014775329677
5,2024-08-01 05:00:00,25178.715371909824,7133.926586939194,14414.472046308592,25178.715371909824,25178.715371909824,-14446.582625967956,-14446.582625967956,-14446.582625967956,-1214.8938856497034,-1214.8938856497034,-1214.8938856497034,-13385.804131356279,-13385.804131356279,-13385.804131356279,-64.68646414721033,-64.68646414721033,-64.68646414721033,-13385.804131356279,-13385.804131356279,-13385.804131356279,23.142984510927672,23.142984510927672,23.142984510927672,195.65887067430978,195.65887067430978,195.65887067430978,0.0,0.0,0.0,10732.132745941868
6,2024-08-01 06:00:00,25179.006435616826,13065.02345493777,20530.255844382118,25179.006435616826,25179.006435616826,-8662.25068699632,-8662.25068699632,-8662.25068699632,-744.3732457645341,-744.3732457645341,-744.3732457645341,-8068.486426976938,-8068.486426976938,-8068.486426976938,-67.71480930555917,-67.71480930555917,-67.71480930555917,-8068.486426976938,-8068.486426976938,-8068.486426976938,29.883878444035876,29.883878444035876,29.883878444035876,188.43991660667513,188.43991660667513,188.43991660667513,0.0,0.0,0.0,16516.755748620504
7,2024-08-01 07:00:00,25179.297499323824,20865.428023060307,28659.85682394087,25179.297499323824,25179.297499323824,-597.3156137440859,-597.3156137440859,-597.3156137440859,-270.582697277568,-270.582697277568,-270.582697277568,-473.8255190957851,-473.8255190957851,-473.8255190957851,-70.47984796939595,-70.47984796939595,-70.47984796939595,-473.8255190957851,-473.8255190957851,-473.8255190957851,36.37340076291498,36.37340076291498,36.37340076291498,181.19904983574824,181.19904983574824,181.19904983574824,0.0,0.0,0.0,24581.98188557974
8,2024-08-01 08:00:00,25179.588563030826,27793.8945408239,35224.99358922193,25179.588563030826,25179.588563030826,6330.885872139432,6330.885872139432,6330.885872139432,49.94496870903343,49.94496870903343,49.94496870903343,6137.3277186659425,6137.3277186659425,6137.3277186659425,-72.91447685944077,-72.91447685944077,-72.91447685944077,6137.3277186659425,6137.3277186659425,6137.3277186659425,42.591062678561435,42.591062678561435,42.591062678561435,173.9365989453347,173.9365989453347,173.9365989453347,0.0,0.0,0.0,31510.474435170257
9,2024-08-01 09:00:00,25179.87962673782,24917.084284470744,32367.588323569318,25179.87962673782,25179.87962673782,3576.0637928893334,3576.0637928893334,3576.0637928893334,168.5318789500431,168.5318789500431,168.5318789500431,3267.3110497750013,3267.3110497750013,3267.3110497750013,-74.95433749679546,-74.95433749679546,-74.95433749679546,3267.3110497750013,3267.3110497750013,3267.3110497750013,48.522308575843965,48.522308575843965,48.522308575843965,166.6528930852403,166.6528930852403,166.6528930852403,0.0,0.0,0.0,28755.943419627154
