,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,hourly,hourly_lower,hourly_upper,rolling_avg_w1-w4_lags,rolling_avg_w1-w4_lags_lower,rolling_avg_w1-w4_lags_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2024-08-01 00:00:00,29489.199624027755,17971.848838946975,28599.15630657968,29489.199624027755,29489.199624027755,-6160.878478462549,-6160.878478462549,-6160.878478462549,-450.6155906171759,-450.6155906171759,-450.6155906171759,-6046.135093879411,-6046.135093879411,-6046.135093879411,5.476517877812852,5.476517877812852,5.476517877812852,-6046.135093879411,-6046.135093879411,-6046.135093879411,-36.528535260159956,-36.528535260159956,-36.528535260159956,366.9242234163853,366.9242234163853,366.9242234163853,0.0,0.0,0.0,23328.321145565205
1,2024-08-01 01:00:00,29489.229427131486,10321.857620692748,21179.917293877596,29489.229427131486,29489.229427131486,-13819.649122623756,-13819.649122623756,-13819.649122623756,-1192.0789847485335,-1192.0789847485335,-1192.0789847485335,-12961.772911900234,-12961.772911900234,-12961.772911900234,1.9624924885683757,1.9624924885683757,1.9624924885683757,-12961.772911900234,-12961.772911900234,-12961.772911900234,-27.22980017804969,-27.22980017804969,-27.22980017804969,359.47008171449477,359.47008171449477,359.47008171449477,0.0,0.0,0.0,15669.58030450773
2,2024-08-01 02:00:00,29489.259230235213,5449.578221232218,15856.724353737913,29489.259230235213,29489.259230235213,-18631.021721472294,-18631.021721472294,-18631.021721472294,-1906.1210964078743,-1906.1210964078743,-1906.1210964078743,-17056.759218916304,-17056.759218916304,-17056.759218916304,-2.186237357078382,-2.186237357078382,-2.186237357078382,-17056.759218916304,-17056.759218916304,-17056.759218916304,-17.937348424866656,-17.937348424866656,-17.937348424866656,351.9821796338286,351.9821796338286,351.9821796338286,0.0,0.0,0.0,10858.237508762919
3,2024-08-01 03:00:00,29489.289033338937,3524.4596785267795,14127.81845568118,29489.289033338937,29489.289033338937,-20801.990798219882,-20801.990798219882,-20801.990798219882,-2362.8160166553434,-2362.8160166553434,-2362.8160166553434,-18768.034073389947,-18768.034073389947,-18768.034073389947,-6.907729076550458,-6.907729076550458,-6.907729076550458,-18768.034073389947,-18768.034073389947,-18768.034073389947,-8.693824964036823,-8.693824964036823,-8.693824964036823,344.4608458659969,344.4608458659969,344.4608458659969,0.0,0.0,0.0,8687.298235119055
4,2024-08-01 04:00:00,29489.318836442664,4679.793235856738,15099.535599825258,29489.318836442664,29489.318836442664,-19409.09901304521,-19409.09901304521,-19409.09901304521,-2362.2484952899235,-2362.2484952899235,-2362.2484952899235,-17372.081346126462,-17372.081346126462,-17372.081346126462,-12.136518392010329,-12.136518392010329,-12.136518392010329,-17372.081346126462,-17372.081346126462,-17372.081346126462,0.460936477751952,0.460936477751952,0.460936477751952,336.9064102854367,336.9064102854367,336.9064102854367,0.0,0.0,0.0,10080.219823397456
5,2024-08-01 05:00:00,29489.348639546395,8227.259249106875,18877.99490605607,29489.348639546395,29489.348639546395,-15930.56982833234,-15930.56982833234,-15930.56982833234,-1873.0643825668085,-1873.0643825668085,-1873.0643825668085,-14378.511249232271,-14378.511249232271,-14378.511249232271,-17.80410879785022,-17.80410879785022,-17.80410879785022,-14378.511249232271,-14378.511249232271,-14378.511249232271,9.490708333931337,9.490708333931337,9.490708333931337,329.31920393066025,329.31920393066025,329.31920393066025,0.0,0.0,0.0,13558.778811214055
6,2024-08-01 06:00:00,29489.378442650122,15248.368228156727,25944.35521054537,29489.378442650122,29489.378442650122,-8722.04003868385,-8722.04003868385,-8722.04003868385,-1082.94822837419,-1082.94822837419,-1082.94822837419,-7955.31549102703,-7955.31549102703,-7955.31549102703,-23.839481182588486,-23.839481182588486,-23.839481182588486,-7955.31549102703,-7955.31549102703,-7955.31549102703,18.363602916354544,18.363602916354544,18.363602916354544,321.6995589836049,321.6995589836049,321.6995589836049,0.0,0.0,0.0,20767.33840396627
7,2024-08-01 07:00:00,29489.408245753846,25295.191438002716,36004.921533789406,29489.408245753846,29489.408245753846,1187.7054546962288,1187.7054546962288,1187.7054546962288,-306.06020708501563,-306.06020708501563,-306.06020708501563,1182.8347397492619,1182.8347397492619,1182.8347397492619,-30.169619860450197,-30.169619860450197,-30.169619860450197,1182.8347397492619,1182.8347397492619,1182.8347397492619,27.052733127698268,27.052733127698268,27.052733127698268,314.0478087647345,314.0478087647345,314.0478087647345,0.0,0.0,0.0,30677.113700450074
8,2024-08-01 08:00:00,29489.438048857577,33641.524354202855,44230.23642741204,29489.438048857577,29489.438048857577,9167.43565686105,9167.43565686105,9167.43565686105,196.6002664321275,196.6002664321275,196.6002664321275,8665.654364427908,8665.654364427908,8665.654364427908,-36.72005113500064,-36.72005113500064,-36.72005113500064,8665.654364427908,8665.654364427908,8665.654364427908,35.53678942443429,35.53678942443429,35.53678942443429,306.3642877115806,306.3642877115806,306.3642877115806,0.0,0.0,0.0,38656.87370571862
9,2024-08-01 09:00:00,29489.467851961304,30322.367973571967,40582.12818487587,29489.467851961304,29489.467851961304,5986.175624911366,5986.175624911366,5986.175624911366,356.4715945729842,356.4715945729842,356.4715945729842,5330.669565982183,5330.669565982183,5330.669565982183,-43.41539044010972,-43.41539044010972,-43.41539044010972,5330.669565982183,5330.669565982183,5330.669565982183,43.80052343438034,43.80052343438034,43.80052343438034,298.6493313619284,298.6493313619284,298.6493313619284,0.0,0.0,0.0,35475.64347687267
10,2024-08-01 10:00:00,29489.497655065028,26685.84713845188,37651.51078295421,29489.497655065028,29489.497655065028,2804.0036638767683,2804.0036638767683,2804.0036638767683,300.6072075243362,300.6072075243362,300.6072075243362,2210.8379440971053,2210.8379440971053,2210.8379440971053,-50.17989402634172,-50.17989402634172,-50.17989402634172,2210.8379440971053,2210.8379440971053,2210.8379440971053,51.83512993771762,51.83512993771762,51.83512993771762,290.9032763439507,290.9032763439507,290.9032763439507,0.0,0.0,0.0,32293.501318941795
11,2024-08-01 11:00:00,29489.52745816876,26754.714621248557,37189.07361298646,29489.52745816876,29489.52745816876,2649.5870006387063,2649.5870006387063,2649.5870006387063,230.97868646468754,230.97868646468754,230.97868646468754,2132.781344584352,2132.781344584352,2132.781344584352,-56.93801115752165,-56.93801115752165,-56.93801115752165,2132.781344584352,2132.781344584352,2132.781344584352,59.638520388036504,59.638520388036504,59.638520388036504,283.1264603591518,283.1264603591518,283.1264603591518,0.0,0.0,0.0,32139.114458807464
12,2024-08-01 12:00:00,29489.557261272486,27630.897363377077,38845.97375642703,29489.557261272486,29489.557261272486,3820.0935029391285,3820.0935029391285,3820.0935029391285,283.09483697594015,283.09483697594015,283.09483697594015,3258.078893933928,3258.078893933928,3258.078893933928,-63.614932770232606,-63.614932770232606,-63.614932770232606,3258.078893933928,3258.078893933928,3258.078893933928,67.21548263612077,67.21548263612077,67.21548263612077,275.3192221633719,275.3192221633719,275.3192221633719,0.0,0.0,0.0,33309.65076421161
13,2024-08-01 13:00:00,29489.587064376214,29552.38303272029,40301.17230209243,29489.587064376214,29489.587064376214,5214.332141807477,5214.332141807477,5214.332141807477,466.60357865059564,466.60357865059564,466.60357865059564,4475.806071035148,4475.806071035148,4475.806071035148,-70.13713257163286,-70.13713257163286,-70.13713257163286,4475.806071035148,4475.806071035148,4475.806071035148,74.5777231369996,74.5777231369996,74.5777231369996,267.4819015563663,267.4819015563663,267.4819015563663,0.0,0.0,0.0,34703.91920618369
14,2024-08-01 14:00:00,29489.616867479945,31802.16946257097,42346.32652717505,29489.616867479945,29489.616867479945,7545.86985803892,7545.86985803892,7545.86985803892,708.4449198922125,708.4449198922125,708.4449198922125,6572.499205822469,6572.499205822469,6572.499205822469,-76.43289664314388,-76.43289664314388,-76.43289664314388,6572.499205822469,6572.499205822469,6572.499205822469,81.74378960262858,81.74378960262858,81.74378960262858,259.6148393647541,259.6148393647541,259.6148393647541,0.0,0.0,0.0,37035.486725518866
15,2024-08-01 15:00:00,29489.64667058367,33056.99610701943,44000.10813719326,29489.64667058367,29489.64667058367,8835.714041914856,8835.714041914856,8835.714041914856,935.1737510916373,935.1737510916373,935.1737510916373,7642.515877330151,7642.515877330151,7642.515877330151,-82.43283767185497,-82.43283767185497,-82.43283767185497,7642.515877330151,7642.515877330151,7642.515877330151,88.73887373970338,88.73887373970338,88.73887373970338,251.71837742521907,251.71837742521907,251.71837742521907,0.0,0.0,0.0,38325.36071249853
16,2024-08-01 16:00:00,29489.676473687396,34539.97458042613,45074.157987682556,29489.676473687396,29489.676473687396,10650.373271704879,10650.373271704879,10650.373271704879,1117.1307171696903,1117.1307171696903,1117.1307171696903,9281.925590609331,9281.925590609331,9281.925590609331,-88.07039007395667,-88.07039007395667,-88.07039007395667,9281.925590609331,9281.925590609331,9281.925590609331,95.59449542653505,95.59449542653505,95.59449542653505,243.79285857328009,243.79285857328009,243.79285857328009,0.0,0.0,0.0,40140.04974539227
17,2024-08-01 17:00:00,29489.70627679112,38815.08005177701,49411.26841741803,29489.70627679112,29489.70627679112,14639.94032983628,14639.94032983628,14639.94032983628,1252.73606216256,1252.73606216256,1252.73606216256,13142.299852064407,13142.299852064407,13142.299852064407,-93.28228241722046,-93.28228241722046,-93.28228241722046,13142.299852064407,13142.299852064407,13142.299852064407,102.34807140510775,102.34807140510775,102.34807140510775,235.83862662142616,235.83862662142616,235.83862662142616,0.0,0.0,0.0,44129.6466066274
18,2024-08-01 18:00:00,29489.73607989485,39628.363229760165,49727.09457379596,29489.73607989485,29489.73607989485,14954.079169389148,14954.079169389148,14954.079169389148,1332.3075211228288,1332.3075211228288,1332.3075211228288,13382.882232432328,13382.882232432328,13382.882232432328,-98.00898372725642,-98.00898372725642,-98.00898372725642,13382.882232432328,13382.882232432328,13382.882232432328,109.04237321411505,109.04237321411505,109.04237321411505,227.8560263471336,227.8560263471336,227.8560263471336,0.0,0.0,0.0,44443.815249284
19,2024-08-01 19:00:00,29489.765882998578,36232.448795151635,47202.479344739615,29489.765882998578,29489.765882998578,12115.760822793432,12115.760822793432,12115.760822793432,1328.3365075380516,1328.3365075380516,1328.3365075380516,10554.049151506975,10554.049151506975,10554.049151506975,-102.19512044204293,-102.19512044204293,-102.19512044204293,10554.049151506975,10554.049151506975,10554.049151506975,115.72488070935272,115.72488070935272,115.72488070935272,219.84540348109726,219.84540348109726,219.84540348109726,0.0,0.0,0.0,41605.526705792014
20,2024-08-01 20:00:00,29489.7956861023,34451.36934024451,45146.32641860162,29489.7956861023,29489.7956861023,10123.203199655562,10123.203199655562,10123.203199655562,1216.0382653321153,1216.0382653321153,1216.0382653321153,8678.700651598594,8678.700651598594,8678.700651598594,-105.78986103070108,-105.78986103070108,-105.78986103070108,8678.700651598594,8678.700651598594,8678.700651598594,122.4470390707618,122.4470390707618,122.4470390707618,211.80710468479137,211.80710468479137,211.80710468479137,0.0,0.0,0.0,39612.998885757865
21,2024-08-01 21:00:00,29489.825489206032,36525.047488395096,47414.27404637562,29489.825489206032,29489.825489206032,12399.83104303056,12399.83104303056,12399.83104303056,989.3321318770029,989.3321318770029,989.3321318770029,11186.241270506864,11186.241270506864,11186.241270506864,-108.74726551964608,-108.74726551964608,-108.74726551964608,11186.241270506864,11186.241270506864,11186.241270506864,129.26342862699607,129.26342862699607,129.26342862699607,203.74147753934375,203.74147753934375,203.74147753934375,0.0,0.0,0.0,41889.65653223659
22,2024-08-01 22:00:00,29489.85529230976,36775.183937067326,48067.54966484062,29489.85529230976,29489.85529230976,13150.249953309212,13150.249953309212,13150.249953309212,647.7096762414687,647.7096762414687,647.7096762414687,12281.687145821817,12281.687145821817,12281.687145821817,-111.0265974307452,-111.0265974307452,-111.0265974307452,12281.687145821817,12281.687145821817,12281.687145821817,136.2308581492087,136.2308581492087,136.2308581492087,195.64887052746403,195.64887052746403,195.64887052746403,0.0,0.0,0.0,42640.10524561897
23,2024-08-01 23:00:00,29489.885095413487,33029.80963195328,44381.763864453176,29489.885095413487,29489.885095413487,9387.196735067302,9387.196735067302,9387.196735067302,174.38727867260388,174.38727867260388,174.38727867260388,8994.465025831487,8994.465025831487,8994.465025831487,-112.59259594380227,-112.59259594380227,-112.59259594380227,8994.465025831487,8994.465025831487,8994.465025831487,143.40739348451433,143.40739348451433,143.40739348451433,187.52963302249955,187.52963302249955,187.52963302249955,0.0,0.0,0.0,38877.08183048079
24,2024-08-02 00:00:00,29489.914898517218,22951.4817954291,33876.16087060976,29489.914898517218,29489.914898517218,-1029.5742872379071,-1029.5742872379071,-1029.5742872379071,-450.6155905898695,-450.6155905898695,-450.6155905898695,-795.778439967775,-795.778439967775,-795.778439967775,-113.41570636220598,-113.41570636220598,-113.41570636220598,-795.778439967775,-795.778439967775,-795.778439967775,150.8513344168916,150.8513344168916,150.8513344168916,179.38411526505163,179.38411526505163,179.38411526505163,0.0,0.0,0.0,28460.34061127931
25,2024-08-02 01:00:00,29489.94470162094,14373.062606563362,25186.12069483951,29489.94470162094,29489.94470162094,-10136.15705812342,-10136.15705812342,-10136.15705812342,-1192.0789847187127,-1192.0789847187127,-1192.0789847187127,-9160.438627980298,-9160.438627980298,-9160.438627980298,-113.47226730359522,-113.47226730359522,-113.47226730359522,-9160.438627980298,-9160.438627980298,-9160.438627980298,158.62015352563984,158.62015352563984,158.62015352563984,171.2126683535481,171.2126683535481,171.2126683535481,0.0,0.0,0.0,19353.787643497522
26,2024-08-02 02:00:00,29489.97450472467,7634.238310105995,18570.319265015074,29489.97450472467,29489.97450472467,-16221.272783623075,-16221.272783623075,-16221.272783623075,-1906.121096405597,-1906.121096405597,-1906.121096405597,-14532.19208963273,-14532.19208963273,-14532.19208963273,-112.74465334536303,-112.74465334536303,-112.74465334536303,-14532.19208963273,-14532.19208963273,-14532.19208963273,166.7694115317452,166.7694115317452,166.7694115317452,163.01564422887088,163.01564422887088,163.01564422887088,0.0,0.0,0.0,13268.701721101594
27,2024-08-02 03:00:00,29490.0043078284,4667.7941049251,15766.352316916153,29490.0043078284,29490.0043078284,-19228.513110428743,-19228.513110428743,-19228.513110428743,-2362.8160166455045,-2362.8160166455045,-2362.8160166455045,-17084.620781348618,-17084.620781348618,-17084.620781348618,-111.2213721978258,-111.2213721978258,-111.2213721978258,-17084.620781348618,-17084.620781348618,-17084.620781348618,175.35166411010167,175.35166411010167,175.35166411010167,154.7933956531021,154.7933956531021,154.7933956531021,0.0,0.0,0.0,10261.491197399657
28,2024-08-02 04:00:00,29490.034110932123,5979.878050430869,16745.428235867374,29490.034110932123,29490.034110932123,-18458.169526881764,-18458.169526881764,-18458.169526881764,-2362.248495300051,-2362.248495300051,-2362.248495300051,-16317.985567437247,-16317.985567437247,-16317.985567437247,-108.89711581159524,-108.89711581159524,-108.89711581159524,-16317.985567437247,-16317.985567437247,-16317.985567437247,184.41537546854286,184.41537546854286,184.41537546854286,146.54627619858883,146.54627619858883,146.54627619858883,0.0,0.0,0.0,11031.86458405036
29,2024-08-02 05:00:00,29490.06391403585,8820.149040425307,19334.397563777038,29490.06391403585,29490.06391403585,-15447.937537929412,-15447.937537929412,-15447.937537929412,-1873.0643825516343,-1873.0643825516343,-1873.0643825516343,-13801.378884562906,-13801.378884562906,-13801.378884562906,-105.7727651816304,-105.7727651816304,-105.7727651816304,-13801.378884562906,-13801.378884562906,-13801.378884562906,194.00385413455825,194.00385413455825,194.00385413455825,138.27464023219952,138.27464023219952,138.27464023219952,0.0,0.0,0.0,14042.126376106438
30,2024-08-02 06:00:00,29490.093717139578,15805.612523924194,26376.809099789243,29490.093717139578,29490.093717139578,-8446.218046155527,-8446.218046155527,-8446.218046155527,-1082.9482283562486,-1082.9482283562486,-1082.9482283562486,-7595.54753803199,-7595.54753803199,-7595.54753803199,-101.85534894363877,-101.85534894363877,-101.85534894363877,-7595.54753803199,-7595.54753803199,-7595.54753803199,204.15422628070775,204.15422628070775,204.15422628070775,129.97884289564163,129.97884289564163,129.97884289564163,0.0,0.0,0.0,21043.875670984053
31,2024-08-02 07:00:00,29490.12352024331,25642.225210747583,36188.16269587647,29490.12352024331,29490.12352024331,1421.1016003176028,1421.1016003176028,1421.1016003176028,-306.0602071112551,-306.0602071112551,-306.0602071112551,1487.764061925144,1487.764061925144,1487.764061925144,-97.15795621682658,-97.15795621682658,-97.15795621682658,1487.764061925144,1487.764061925144,1487.764061925144,214.8964616264724,214.8964616264724,214.8964616264724,121.65924009406773,121.65924009406773,121.65924009406773,0.0,0.0,0.0,30911.225120560914
32,2024-08-02 08:00:00,29490.153323347033,33124.99457224139,43755.56197902927,29490.153323347033,29490.153323347033,8940.52194815362,8940.52194815362,8940.52194815362,196.60026643612073,196.60026643612073,196.60026643612073,8496.05263120898,8496.05263120898,8496.05263120898,-91.69960447834988,-91.69960447834988,-91.69960447834988,8496.05263120898,8496.05263120898,8496.05263120898,226.25246650941034,226.25246650941034,226.25246650941034,113.31618847745938,113.31618847745938,113.31618847745938,0.0,0.0,0.0,38430.67527150065
